state	|	left	|	right	|	up	|	down
------------------ coin_idx = 7 ----------------
 6	|	-1.000	|	-0.022	|	0.000	|	-0.022
 7	|	-1.000	|	0.978	|	0.000	|	0.978
 8	|	-0.022	|	-0.022	|	0.000	|	1.979
 9	|	0.978	|	0.000	|	0.000	|	0.978
 10	|	0.000	|	-2.000	|	-1.000	|	-1.000
 11	|	-1.000	|	-2.000	|	-1.000	|	-2.000
 12	|	-2.000	|	-2.000	|	-1.000	|	-2.999
 13	|	-2.000	|	-2.000	|	-1.000	|	-2.022
 14	|	-2.000	|	-1.022	|	-1.000	|	-1.022
 15	|	-2.000	|	-0.022	|	-1.000	|	-0.022
 16	|	-1.022	|	0.978	|	-1.000	|	0.978
 17	|	-0.022	|	1.979	|	-0.022	|	1.979
 18	|	0.978	|	0.978	|	0.978	|	2.981
 19	|	1.979	|	0.000	|	-0.022	|	1.979
 20	|	0.000	|	-2.000	|	-1.000	|	-1.000
 21	|	-1.000	|	-2.999	|	-2.000	|	-2.000
 22	|	-2.000	|	-2.022	|	-2.000	|	-2.022
 23	|	-2.999	|	-1.022	|	-2.000	|	-1.022
 24	|	-2.022	|	-0.022	|	-2.000	|	-0.022
 25	|	-1.022	|	0.978	|	-1.022	|	0.978
 26	|	-0.022	|	1.979	|	-0.022	|	1.979
 27	|	0.978	|	2.981	|	0.978	|	2.981
 28	|	1.979	|	1.979	|	1.979	|	3.983
 29	|	2.981	|	0.000	|	0.978	|	2.981
 30	|	0.000	|	-2.000	|	-1.000	|	-1.000
 31	|	-1.000	|	-2.022	|	-2.000	|	-2.000
 32	|	-2.000	|	-1.022	|	-2.999	|	-1.022
 33	|	-2.022	|	-0.022	|	-2.022	|	-0.022
 34	|	-1.022	|	0.978	|	-1.022	|	0.978
 35	|	-0.022	|	1.979	|	-0.022	|	1.979
 36	|	0.978	|	2.981	|	0.978	|	2.981
 37	|	1.979	|	3.983	|	1.979	|	3.983
 38	|	2.981	|	2.981	|	2.981	|	4.985
 39	|	3.983	|	0.000	|	1.979	|	3.983
 40	|	0.000	|	-2.000	|	-1.000	|	-1.000
 41	|	-1.000	|	-1.022	|	-2.000	|	-1.022
 42	|	-2.000	|	-0.022	|	-2.022	|	-0.022
 43	|	-1.022	|	0.978	|	-1.022	|	0.978
 44	|	-0.022	|	1.979	|	-0.022	|	1.979
 45	|	0.978	|	2.981	|	0.978	|	-1.000
 46	|	1.979	|	3.983	|	1.979	|	3.983
 47	|	2.981	|	4.985	|	2.981	|	4.985
 48	|	3.983	|	3.983	|	3.983	|	5.988
 49	|	4.985	|	0.000	|	2.981	|	4.985
 50	|	0.000	|	-1.022	|	-1.000	|	-1.000
 51	|	-1.000	|	-0.022	|	-2.000	|	-0.022
 52	|	-1.022	|	0.978	|	-1.022	|	0.978
 53	|	-0.022	|	1.979	|	-0.022	|	1.979
 54	|	0.978	|	-1.000	|	0.978	|	2.981
 55	|	0.000	|	0.000	|	0.000	|	0.000
 56	|	-1.000	|	4.985	|	2.981	|	4.985
 57	|	3.983	|	5.988	|	3.983	|	5.988
 58	|	4.985	|	4.985	|	4.985	|	6.992
 59	|	5.988	|	0.000	|	3.983	|	5.988
 60	|	0.000	|	-0.022	|	-1.000	|	-1.000
 61	|	-1.000	|	0.978	|	-1.022	|	0.978
 62	|	-0.022	|	1.979	|	-0.022	|	1.979
 63	|	0.978	|	2.981	|	0.978	|	2.981
 64	|	1.979	|	3.983	|	1.979	|	3.983
 65	|	2.981	|	4.985	|	-1.000	|	4.985
 66	|	3.983	|	5.988	|	3.983	|	5.988
 67	|	4.985	|	6.992	|	4.985	|	6.992
 68	|	5.988	|	5.988	|	5.988	|	7.995
 69	|	6.992	|	0.000	|	4.985	|	6.992
 70	|	0.000	|	0.978	|	-1.000	|	0.978
 71	|	-0.022	|	1.979	|	-0.022	|	1.979
 72	|	0.978	|	2.981	|	0.978	|	2.981
 73	|	1.979	|	3.983	|	1.979	|	3.983
 74	|	2.981	|	4.985	|	2.981	|	4.985
 75	|	3.983	|	5.988	|	3.983	|	5.988
 76	|	4.985	|	6.992	|	4.985	|	6.992
 77	|	5.988	|	7.995	|	5.988	|	7.995
 78	|	6.992	|	6.992	|	6.992	|	9.000
 79	|	7.995	|	0.000	|	5.988	|	7.995
 80	|	0.000	|	1.979	|	-0.022	|	-0.022
 81	|	0.978	|	2.981	|	0.978	|	0.978
 82	|	1.979	|	3.983	|	1.979	|	1.979
 83	|	2.981	|	4.985	|	2.981	|	2.981
 84	|	3.983	|	5.988	|	3.983	|	3.983
 85	|	4.985	|	6.992	|	4.985	|	4.985
 86	|	5.988	|	7.995	|	5.988	|	5.988
 87	|	6.992	|	9.000	|	6.992	|	6.992
 88	|	0.000	|	0.000	|	0.000	|	0.000
 89	|	9.000	|	0.000	|	6.992	|	6.992
 90	|	0.000	|	0.978	|	-1.000	|	0.000
 91	|	-1.000	|	1.979	|	1.979	|	0.000
 92	|	0.978	|	2.981	|	2.981	|	0.000
 93	|	1.979	|	3.983	|	3.983	|	0.000
 94	|	2.981	|	4.985	|	4.985	|	0.000
 95	|	3.983	|	5.988	|	5.988	|	0.000
 96	|	4.985	|	6.992	|	6.992	|	0.000
 97	|	5.988	|	7.995	|	7.995	|	0.000
 98	|	6.992	|	6.992	|	9.000	|	0.000
 99	|	7.995	|	0.000	|	7.995	|	0.000
------------------ coin_idx = 3 ----------------
 0	|	0.000	|	0.000	|	0.000	|	0.000
 1	|	0.000	|	0.000	|	0.000	|	0.000
 2	|	0.000	|	0.000	|	0.000	|	0.000
 3	|	0.000	|	0.000	|	0.000	|	0.000
 4	|	0.000	|	6.987	|	0.000	|	-1.000
 5	|	-1.000	|	5.983	|	0.000	|	7.991
 6	|	6.987	|	-1.000	|	0.000	|	8.995
 7	|	-1.000	|	-1.000	|	0.000	|	10.000
 8	|	8.995	|	-1.000	|	0.000	|	8.995
 9	|	-1.000	|	0.000	|	0.000	|	-1.000
 10	|	0.000	|	0.000	|	0.000	|	0.000
 11	|	0.000	|	0.000	|	0.000	|	0.000
 12	|	0.000	|	0.000	|	0.000	|	-1.000
 13	|	-1.000	|	-1.000	|	0.000	|	0.000
 14	|	-1.000	|	-2.000	|	-1.000	|	0.000
 15	|	-1.000	|	8.995	|	-1.000	|	-1.000
 16	|	-1.000	|	10.000	|	7.991	|	0.000
 17	|	0.000	|	0.000	|	0.000	|	0.000
 18	|	10.000	|	7.991	|	7.991	|	7.991
 19	|	8.995	|	0.000	|	-1.000	|	6.987
 20	|	0.000	|	0.000	|	0.000	|	0.000
